Hour of the year,Hour of the day,Tamb,A_Tz1,A_Tz2,A_Tz3,A_Tz4,B_Tz1,B_Tz2,B_Tz3,B_Tz4,C_Tz1,C_Tz2,C_Tz3,C_Tz4,T_aoA,T_aoB,T_aoC,T_woA,T_woB,T_woC,T_t,T_chiller,A_Uz1,A_Uz2,A_Uz3,A_Uz4,B_Uz1,B_Uz2,B_Uz3,B_Uz4,C_Uz1,C_Uz2,C_Uz3,C_Uz4,u_t,AA_Tz1,AA_Tz2,AA_Tz3,AA_Tz4,BB_Tz1,BB_Tz2,BB_Tz3,BB_Tz4,CC_Tz1,CC_Tz2,CC_Tz3,CC_Tz4,Tao,Tt,T_chiller,AAA_z1,AAA_z2,AAA_z3,AAA_z4,BBB_z1,BBB_z2,BBB_z3,BBB_z4,CCC_z1,CCC_z2,CCC_z3,CCC_z4,Total power usage,Label
5094.791,6.791,28.227,20.197,21.169,18.528,20.274,21.746,20.358,20.229,19.395,20.151,21.177,20.157,18.439,12.999,12.169,12.164,13.168,13.37,13.36,10.898,8.999,0.214,0.24,0.342,0.218,0,0.287,0.202,0.244,0.223,0.226,0.223,0.29,0.052,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.166,-0.074,-0.379,0.363,0.038,-0.133,-0.174,0.283,-0.174,-0.057,-0.184,0.143,602564.9294,0
5094.806,6.806,28.239,20.061,21.085,18.457,20.206,22.614,20.271,19.972,19.325,19.993,21.086,19.978,18.385,12.996,12.201,12.192,13.197,13.396,13.38,10.928,8.996,0.2,0.222,0.328,0.21,0.011,0.269,0.195,0.236,0.154,0.205,0.154,0.284,0.048,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.181,-0.083,-0.387,0.358,0.15,-0.142,-0.206,0.277,-0.193,-0.067,-0.208,0.139,554338.7444,0
5094.821,6.821,28.251,20.185,21.182,18.544,20.272,22.274,20.369,20.122,19.392,20.316,21.201,20.305,18.448,13.009,12.212,12.204,13.203,13.404,13.388,10.986,9.008,0.159,0.197,0.308,0.19,0.273,0.244,0.117,0.216,0.107,0.178,0.1,0.269,0.049,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.173,-0.079,-0.384,0.359,0.099,-0.138,-0.194,0.278,-0.157,-0.06,-0.171,0.139,562766.6021,0
5094.836,6.836,28.263,20.155,21.12,18.468,20.195,21.22,20.303,20.2,19.312,20.27,21.143,20.282,18.361,12.994,12.143,12.141,13.132,13.334,13.328,10.863,8.993,0.197,0.227,0.336,0.211,0.172,0.274,0.163,0.237,0.204,0.213,0.199,0.289,0.052,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.169,-0.077,-0.384,0.359,-0.025,-0.136,-0.174,0.277,-0.154,-0.057,-0.163,0.137,598766.8626,0
5094.851,6.851,28.275,20.087,21.087,18.437,20.176,21.521,20.267,20.08,19.291,20.005,21.096,20.009,18.338,12.989,12.202,12.197,13.193,13.381,13.372,10.919,8.989,0.189,0.209,0.314,0.188,0,0.255,0.187,0.214,0.192,0.196,0.193,0.264,0.046,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.174,-0.078,-0.385,0.359,0.015,-0.138,-0.187,0.277,-0.187,-0.061,-0.198,0.137,538247.8916,0
5094.866,6.866,28.287,20.273,21.276,18.622,20.364,22.621,20.46,20.191,19.48,20.261,21.291,20.243,18.521,13.018,12.222,12.215,13.203,13.405,13.39,11.046,9.017,0.169,0.199,0.306,0.183,0,0.245,0.151,0.208,0.112,0.182,0.111,0.258,0.049,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.167,-0.072,-0.379,0.363,0.138,-0.131,-0.191,0.282,-0.169,-0.053,-0.185,0.142,551100.3909,0
5094.881,6.881,28.299,20.124,21.133,18.484,20.234,22.179,20.31,20.081,19.348,20.258,21.14,20.251,18.4,13.001,12.112,12.106,13.087,13.299,13.288,10.861,9,0.226,0.257,0.364,0.241,0.276,0.304,0.185,0.267,0.19,0.241,0.182,0.314,0.055,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.176,-0.08,-0.386,0.359,0.093,-0.14,-0.194,0.278,-0.159,-0.062,-0.172,0.138,637861.3954,0
5094.896,6.896,28.31,20.061,21.078,18.441,20.191,21.317,20.252,20.078,19.301,20.095,21.074,20.108,18.365,13.004,12.196,12.192,13.177,13.367,13.359,10.985,9.004,0.182,0.214,0.324,0.203,0.144,0.26,0.152,0.228,0.189,0.197,0.185,0.279,0.046,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.188,-0.089,-0.395,0.353,-0.02,-0.15,-0.197,0.27,-0.185,-0.074,-0.194,0.132,540464.9083,0
5094.91,6.91,28.322,20.131,21.102,18.45,20.182,21.704,20.277,20.13,19.293,20.077,21.118,20.077,18.344,12.997,12.142,12.136,13.111,13.315,13.305,10.891,8.997,0.163,0.198,0.312,0.19,0,0.244,0.151,0.215,0.141,0.177,0.142,0.27,0.052,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.173,-0.081,-0.389,0.356,0.034,-0.142,-0.185,0.273,-0.182,-0.063,-0.194,0.134,574074.3702,0
5094.925,6.925,28.334,20.176,21.139,18.465,20.2,22.618,20.313,20.122,19.31,20.234,21.169,20.215,18.346,12.992,12.178,12.171,13.145,13.347,13.332,10.917,8.992,0.185,0.205,0.316,0.188,0,0.252,0.167,0.213,0.136,0.191,0.133,0.265,0.047,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.163,-0.073,-0.383,0.36,0.155,-0.133,-0.183,0.278,-0.155,-0.052,-0.171,0.137,540134.278,0
5094.94,6.94,28.346,20.184,21.202,18.527,20.281,22.295,20.376,20.148,19.392,20.295,21.218,20.292,18.428,13.003,12.187,12.18,13.153,13.352,13.338,10.969,9.002,0.199,0.217,0.322,0.194,0.276,0.264,0.165,0.219,0.183,0.206,0.175,0.266,0.048,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.169,-0.072,-0.381,0.363,0.107,-0.132,-0.186,0.281,-0.154,-0.053,-0.167,0.14,574328.2209,0
5094.955,6.955,28.358,20.169,21.213,18.554,20.32,21.325,20.383,20.17,19.429,20.153,21.207,20.165,18.478,13.016,12.158,12.154,13.121,13.321,13.313,10.993,9.015,0.202,0.236,0.342,0.219,0.18,0.284,0.174,0.245,0.203,0.222,0.199,0.292,0.051,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.181,-0.079,-0.387,0.36,-0.026,-0.14,-0.192,0.278,-0.185,-0.063,-0.194,0.139,597128.6167,0
5094.97,6.97,28.37,20.1,21.114,18.471,20.231,21.606,20.279,20.075,19.335,20.051,21.104,20.048,18.4,13.013,12.123,12.118,13.08,13.286,13.276,10.95,9.013,0.198,0.24,0.352,0.232,0,0.287,0.181,0.257,0.161,0.219,0.162,0.309,0.052,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.188,-0.09,-0.397,0.353,0.011,-0.152,-0.203,0.27,-0.198,-0.076,-0.209,0.131,590678.2502,0
5094.985,6.985,28.382,20.043,21.016,18.366,20.11,22.487,20.18,19.995,19.212,20.127,21.024,20.11,18.273,12.997,12.123,12.116,13.074,13.282,13.268,10.889,8.996,0.178,0.211,0.328,0.206,0,0.257,0.152,0.23,0.13,0.188,0.127,0.286,0.05,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.183,-0.092,-0.4,0.349,0.135,-0.154,-0.202,0.265,-0.173,-0.075,-0.188,0.126,558334.1744,0
5095,7,28.394,20.08,21.05,18.337,20.096,22.211,20.19,20.072,19.176,20.168,21.061,20.166,18.206,12.989,12.159,12.153,13.11,13.309,13.296,10.906,8.989,0.161,0.182,0.298,0.17,0.237,0.227,0.128,0.194,0.153,0.164,0.146,0.249,0.047,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.226,-0.121,-0.476,0.317,0.056,-0.217,-0.251,0.212,-0.243,-0.127,-0.258,0.066,540142.1501,0
5095.015,7.015,28.406,20.092,21.098,18.326,20.119,21.326,20.207,20.095,19.169,20.035,21.085,20.042,18.166,12.987,12.158,12.152,13.11,13.308,13.296,10.902,8.987,0.173,0.192,0.29,0.166,0.155,0.231,0.152,0.184,0.166,0.176,0.163,0.23,0.048,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.224,-0.114,-0.477,0.317,-0.056,-0.214,-0.248,0.209,-0.262,-0.122,-0.275,0.059,549237.2556,0
5095.03,7.03,28.418,20.169,21.196,18.446,20.24,21.704,20.314,20.129,19.289,20.129,21.174,20.12,18.281,13.008,12.185,12.181,13.144,13.335,13.326,11.013,9.008,0.177,0.206,0.288,0.173,0,0.237,0.159,0.182,0.126,0.183,0.126,0.218,0.047,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.227,-0.114,-0.475,0.319,-0.021,-0.213,-0.257,0.211,-0.262,-0.124,-0.278,0.061,540303.9135,0
5095.045,7.045,28.43,20.001,21.027,18.322,20.109,22.481,20.161,19.943,19.17,20.079,21.005,20.063,18.181,12.993,12.114,12.106,13.068,13.276,13.261,10.855,8.992,0.201,0.237,0.325,0.21,0.001,0.27,0.169,0.219,0.155,0.21,0.15,0.253,0.053,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.237,-0.126,-0.481,0.313,0.089,-0.223,-0.27,0.207,-0.257,-0.137,-0.276,0.058,592279.5737,0
5095.06,7.06,28.442,19.972,20.963,18.255,20.035,22.168,20.096,19.969,19.101,20.023,20.952,20.023,18.122,12.986,12.185,12.179,13.149,13.341,13.328,10.913,8.985,0.15,0.186,0.289,0.171,0.236,0.225,0.113,0.184,0.14,0.16,0.133,0.224,0.045,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.237,-0.13,-0.486,0.31,0.053,-0.227,-0.263,0.204,-0.26,-0.139,-0.276,0.055,522352.6892,0
5095.075,7.075,28.454,20.27,21.215,18.463,20.233,21.494,20.338,20.306,19.297,20.247,21.228,20.252,18.301,13.013,12.219,12.212,13.185,13.377,13.364,11.039,9.012,0.142,0.167,0.27,0.149,0.142,0.205,0.121,0.164,0.123,0.144,0.121,0.207,0.048,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.217,-0.115,-0.475,0.316,-0.05,-0.213,-0.236,0.21,-0.25,-0.12,-0.263,0.06,539530.4274,0
5095.09,7.09,28.466,20.108,21.128,18.372,20.161,21.748,20.244,20.051,19.217,20.084,21.119,20.075,18.221,13,12.114,12.109,13.079,13.285,13.275,10.877,8.999,0.232,0.243,0.334,0.209,0,0.279,0.223,0.223,0.191,0.227,0.19,0.261,0.054,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.229,-0.118,-0.479,0.315,-0.009,-0.217,-0.261,0.208,-0.262,-0.126,-0.278,0.059,610610.9803,0
5095.104,7.104,28.478,19.972,21.059,18.341,20.143,22.578,20.181,19.875,19.2,19.998,21.016,19.983,18.219,13.01,12.204,12.196,13.177,13.372,13.356,11.015,9.009,0.184,0.217,0.308,0.188,0.015,0.251,0.147,0.2,0.143,0.195,0.137,0.238,0.046,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.252,-0.133,-0.491,0.309,0.09,-0.231,-0.29,0.202,-0.28,-0.147,-0.298,0.053,529129.6872,0
5095.119,7.119,28.49,20.019,21.005,18.291,20.076,22.071,20.132,20.052,19.135,20.074,20.985,20.074,18.154,12.999,12.134,12.128,13.104,13.311,13.298,10.887,8.998,0.143,0.196,0.299,0.183,0.265,0.233,0.094,0.195,0.117,0.164,0.11,0.238,0.053,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.239,-0.133,-0.49,0.307,0.033,-0.23,-0.26,0.201,-0.262,-0.144,-0.278,0.052,583207.4599,0
5095.134,7.134,28.501,20.14,21.056,18.309,20.081,21.273,20.177,20.204,19.141,20.16,21.072,20.167,18.147,12.994,12.191,12.188,13.172,13.362,13.355,10.938,8.994,0.157,0.18,0.285,0.163,0.113,0.219,0.147,0.176,0.14,0.155,0.137,0.219,0.046,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.222,-0.123,-0.484,0.31,-0.066,-0.222,-0.237,0.204,-0.248,-0.128,-0.261,0.054,527238.2232,0
5095.149,7.149,28.513,20.13,21.136,18.37,20.153,21.751,20.254,20.053,19.212,20.114,21.147,20.104,18.21,12.999,12.193,12.188,13.176,13.369,13.359,10.947,8.998,0.194,0.196,0.291,0.165,0,0.233,0.193,0.178,0.166,0.181,0.166,0.217,0.049,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.225,-0.116,-0.478,0.315,-0.008,-0.214,-0.26,0.208,-0.257,-0.121,-0.273,0.058,555351.787,0
5095.164,7.164,28.525,19.997,21.083,18.331,20.101,22.511,20.205,19.903,19.161,20.008,21.061,19.992,18.166,12.986,12.182,12.177,13.169,13.362,13.352,10.872,8.985,0.192,0.22,0.311,0.187,0.016,0.257,0.148,0.2,0.153,0.204,0.147,0.237,0.049,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.228,-0.109,-0.47,0.317,0.102,-0.207,-0.266,0.211,-0.255,-0.117,-0.274,0.062,561631.1838,0
5095.179,7.179,28.537,20.222,21.235,18.49,20.223,22.329,20.36,20.282,19.285,20.284,21.215,20.285,18.299,13.008,12.249,12.242,13.239,13.43,13.417,11.04,9.008,0.152,0.205,0.3,0.172,0.245,0.243,0.103,0.186,0.121,0.178,0.114,0.224,0.045,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.214,-0.104,-0.463,0.318,0.065,-0.201,-0.231,0.212,-0.233,-0.111,-0.248,0.065,533282.8964,0
5095.194,7.194,28.549,20.128,21.107,18.36,20.1,21.289,20.227,20.166,19.16,20.144,21.1,20.15,18.18,12.988,12.138,12.134,13.13,13.328,13.321,10.834,8.988,0.22,0.251,0.349,0.209,0.192,0.29,0.217,0.224,0.205,0.225,0.202,0.265,0.054,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.215,-0.108,-0.468,0.316,-0.055,-0.206,-0.233,0.21,-0.24,-0.114,-0.253,0.062,625357.4677,0
5095.209,7.209,28.561,19.962,21.01,18.263,20.021,21.475,20.128,19.847,19.08,19.922,21.001,19.912,18.101,12.977,12.229,12.225,13.234,13.41,13.401,10.898,8.976,0.193,0.213,0.311,0.172,0,0.251,0.183,0.186,0.163,0.191,0.162,0.23,0.043,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.228,-0.113,-0.474,0.314,-0.024,-0.211,-0.267,0.208,-0.262,-0.119,-0.278,0.06,516398.886,0
5095.224,7.224,28.573,20.233,21.252,18.486,20.236,22.585,20.375,20.205,19.296,20.287,21.257,20.274,18.299,13.004,12.271,12.264,13.27,13.46,13.446,11.031,9.004,0.143,0.184,0.283,0.149,0,0.221,0.087,0.163,0.096,0.161,0.09,0.206,0.046,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.209,-0.099,-0.461,0.322,0.101,-0.197,-0.238,0.215,-0.229,-0.102,-0.247,0.067,530141.3185,0
5095.239,7.239,28.585,20.351,21.352,18.583,20.341,22.38,20.472,20.431,19.401,20.426,21.347,20.428,18.406,13.026,12.202,12.195,13.2,13.405,13.393,11.035,9.026,0.225,0.257,0.351,0.214,0.269,0.297,0.195,0.229,0.207,0.239,0.2,0.267,0.053,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.209,-0.1,-0.462,0.321,0.061,-0.198,-0.223,0.215,-0.225,-0.105,-0.24,0.067,628600.5927,0
5095.254,7.254,28.597,19.847,20.941,18.217,19.99,21.098,20.054,19.779,19.047,19.772,20.891,19.775,18.085,12.986,12.121,12.117,13.119,13.324,13.316,10.798,8.985,0.262,0.288,0.382,0.246,0.208,0.327,0.264,0.261,0.25,0.267,0.247,0.3,0.053,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.249,-0.128,-0.487,0.307,-0.079,-0.227,-0.282,0.2,-0.29,-0.141,-0.303,0.053,641666.9559,0
5095.269,7.269,28.609,19.977,21.008,18.284,20.027,21.362,20.123,19.883,19.084,19.958,20.984,19.947,18.117,12.995,12.278,12.274,13.296,13.47,13.462,11.011,8.994,0.11,0.165,0.273,0.141,0,0.202,0.068,0.155,0.053,0.13,0.051,0.204,0.041,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.238,-0.125,-0.483,0.306,-0.05,-0.224,-0.274,0.199,-0.269,-0.134,-0.285,0.052,474528.8092,0
5095.284,7.284,28.621,20.306,21.198,18.412,20.172,22.331,20.315,20.404,19.229,20.474,21.238,20.465,18.222,12.998,12.207,12.202,13.214,13.416,13.405,10.924,8.998,0.149,0.185,0.294,0.152,0,0.223,0.099,0.166,0.108,0.157,0.102,0.214,0.052,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.201,-0.106,-0.47,0.317,0.069,-0.205,-0.213,0.211,-0.205,-0.106,-0.221,0.061,572572.6592,0
5095.299,7.299,28.633,20.138,21.148,18.36,20.197,22.284,20.264,20.18,19.254,20.173,21.159,20.175,18.246,13.002,12.237,12.23,13.255,13.445,13.432,10.976,9.002,0.249,0.242,0.334,0.196,0.193,0.282,0.256,0.211,0.265,0.234,0.259,0.246,0.048,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.225,-0.116,-0.481,0.318,0.059,-0.214,-0.245,0.211,-0.249,-0.12,-0.264,0.061,586369.8629,0
5095.313,7.313,28.645,19.964,21.107,18.37,20.219,21.601,20.225,19.814,19.279,19.815,21.058,19.812,18.3,13.022,12.234,12.228,13.255,13.445,13.433,11.046,9.021,0.199,0.228,0.319,0.204,0.179,0.267,0.189,0.219,0.175,0.211,0.173,0.254,0.05,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.261,-0.134,-0.495,0.311,-0.042,-0.233,-0.305,0.204,-0.313,-0.148,-0.329,0.056,587130.1731,0
5095.328,7.328,28.657,19.866,20.886,18.163,19.969,21.596,19.998,19.832,19.026,19.903,20.848,19.892,18.063,12.988,12.148,12.143,13.166,13.367,13.356,10.817,8.988,0.147,0.216,0.323,0.212,0,0.256,0.079,0.227,0.067,0.181,0.063,0.271,0.054,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.251,-0.14,-0.5,0.303,-0.021,-0.24,-0.281,0.196,-0.278,-0.154,-0.294,0.048,581329.3186,0
5095.343,7.343,28.669,20.217,21.078,18.31,20.084,22.537,20.186,20.38,19.139,20.44,21.105,20.436,18.155,13.004,12.302,12.295,13.329,13.515,13.502,11.048,9.003,0.117,0.149,0.262,0.136,0,0.188,0.084,0.151,0.093,0.118,0.087,0.2,0.042,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.215,-0.125,-0.489,0.307,0.091,-0.225,-0.219,0.2,-0.212,-0.128,-0.228,0.05,481894.693,0
5095.358,7.358,28.681,20.218,21.186,18.384,20.179,22.199,20.297,20.217,19.233,20.213,21.222,20.215,18.223,13.004,12.205,12.199,13.23,13.431,13.419,10.927,9.004,0.223,0.207,0.307,0.171,0.255,0.245,0.249,0.186,0.255,0.195,0.251,0.228,0.054,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.215,-0.112,-0.479,0.315,0.048,-0.211,-0.241,0.208,-0.244,-0.112,-0.259,0.058,625815.0464,0
5095.373,7.373,28.693,19.899,21.058,18.289,20.124,21.268,20.172,19.702,19.181,19.708,21.027,19.701,18.184,12.998,12.236,12.231,13.275,13.456,13.446,10.949,8.998,0.225,0.24,0.33,0.2,0.154,0.279,0.201,0.215,0.188,0.231,0.186,0.249,0.048,20,21,18,20,22,20,20,19,20,21,20,18,13,11,9,-0.254,-0.124,-0.489,0.313,-0.069,-0.224,-0.304,0.206,-0.312,-0.136,-0.327,0.056,569529.5973,0
